Index,HexValue,DecimalValue,Timestamp
5963,954D,38221,2026-04-04 23:59:23.510
5964,45CA,17866,2026-04-04 23:59:23.513
5965,2D5B,11611,2026-04-04 23:59:23.516
5966,D56B,54635,2026-04-04 23:59:23.520
5967,C6A6,50854,2026-04-04 23:59:23.523
5968,04E1,1249,2026-04-04 23:59:23.526
5969,0C87,3207,2026-04-04 23:59:23.529
5970,B26A,45674,2026-04-04 23:59:23.532
5971,48D1,18641,2026-04-04 23:59:23.535
5972,591F,22815,2026-04-04 23:59:23.538
5973,0F0F,3855,2026-04-04 23:59:23.542
5974,75C9,30153,2026-04-04 23:59:23.545
5975,4701,18177,2026-04-04 23:59:23.548
5976,9C79,40057,2026-04-04 23:59:23.551
5977,CF73,53107,2026-04-04 23:59:23.554
5978,2F1C,12060,2026-04-04 23:59:23.557
5979,8BDB,35803,2026-04-04 23:59:23.560
5980,12E2,4834,2026-04-04 23:59:23.564
5981,49A3,18851,2026-04-04 23:59:23.567
5982,4533,17715,2026-04-04 23:59:23.570
5983,1736,5942,2026-04-04 23:59:23.573
5984,3B4C,15180,2026-04-04 23:59:23.576
5985,9ECF,40655,2026-04-04 23:59:23.579
5986,FFA0,65440,2026-04-04 23:59:23.582
5987,FE20,65056,2026-04-04 23:59:23.585
5988,401A,16410,2026-04-04 23:59:23.589
5989,33D0,13264,2026-04-04 23:59:23.592
5990,1736,5942,2026-04-04 23:59:23.595
5991,0344,836,2026-04-04 23:59:23.598
5992,AC5F,44127,2026-04-04 23:59:23.601
5993,FB60,64352,2026-04-04 23:59:23.604
5994,69A0,27040,2026-04-04 23:59:23.607
5995,10C1,4289,2026-04-04 23:59:23.611
5996,E197,57751,2026-04-04 23:59:23.614
5997,CDF4,52724,2026-04-04 23:59:23.617
5998,C639,50745,2026-04-04 23:59:23.620
5999,C823,51235,2026-04-04 23:59:23.623
6000,107D,4221,2026-04-04 23:59:23.626
6001,AA7E,43646,2026-04-04 23:59:23.629
6002,2AFB,11003,2026-04-04 23:59:23.633
6003,1467,5223,2026-04-04 23:59:23.636
6004,A7C7,42951,2026-04-04 23:59:23.639
6005,ED6D,60781,2026-04-04 23:59:23.642
6006,32E6,13030,2026-04-04 23:59:23.645
6007,2FCE,12238,2026-04-04 23:59:23.648
6008,8AA9,35497,2026-04-04 23:59:23.651
6009,5DC2,24002,2026-04-04 23:59:23.655
6010,E3AC,58284,2026-04-04 23:59:23.658
6011,AB28,43816,2026-04-04 23:59:23.661
6012,1F88,8072,2026-04-04 23:59:23.664
6013,653A,25914,2026-04-04 23:59:23.667
6014,5750,22352,2026-04-04 23:59:23.670
6015,F3A8,62376,2026-04-04 23:59:23.673
6016,B4C8,46280,2026-04-04 23:59:23.677
6017,459A,17818,2026-04-04 23:59:23.680
6018,47A1,18337,2026-04-04 23:59:23.683
6019,DA09,55817,2026-04-04 23:59:23.686
6020,7D1F,32031,2026-04-04 23:59:23.689
6021,00E2,226,2026-04-04 23:59:23.692
6022,0132,306,2026-04-04 23:59:23.695
6023,6EF5,28405,2026-04-04 23:59:23.699
6024,39D6,14806,2026-04-04 23:59:23.702
6025,BDC0,48576,2026-04-04 23:59:23.705
6026,D9C8,55752,2026-04-04 23:59:23.708
6027,01C3,451,2026-04-04 23:59:23.711
6028,BD55,48469,2026-04-04 23:59:23.714
6029,F036,61494,2026-04-04 23:59:23.717
6030,4205,16901,2026-04-04 23:59:23.721
6031,4D03,19715,2026-04-04 23:59:23.724
6032,2E0B,11787,2026-04-04 23:59:23.727
6033,FB51,64337,2026-04-04 23:59:23.730
6034,26F8,9976,2026-04-04 23:59:23.733
6035,13AC,5036,2026-04-04 23:59:23.736
6036,26DA,9946,2026-04-04 23:59:23.739
6037,48C9,18633,2026-04-04 23:59:23.743
6038,545F,21599,2026-04-04 23:59:23.746
6039,A6BA,42682,2026-04-04 23:59:23.749
6040,1545,5445,2026-04-04 23:59:23.752
6041,E4C4,58564,2026-04-04 23:59:23.755
6042,ED7E,60798,2026-04-04 23:59:23.758
6043,149C,5276,2026-04-04 23:59:23.761
6044,0404,1028,2026-04-04 23:59:23.765
6045,7D83,32131,2026-04-04 23:59:23.768
6046,B929,47401,2026-04-04 23:59:23.771
6047,E84A,59466,2026-04-04 23:59:23.774
6048,5AD8,23256,2026-04-04 23:59:23.777
6049,0B42,2882,2026-04-04 23:59:23.780
6050,A680,42624,2026-04-04 23:59:23.783
6051,FAE0,64224,2026-04-04 23:59:23.787
6052,CD8D,52621,2026-04-04 23:59:23.790
6053,9799,38809,2026-04-04 23:59:23.793
6054,C278,49784,2026-04-04 23:59:23.796
6055,CF72,53106,2026-04-04 23:59:23.799
6056,F6EC,63212,2026-04-04 23:59:23.802
6057,67A9,26537,2026-04-04 23:59:23.805
6058,AC60,44128,2026-04-04 23:59:23.809
6059,89F7,35319,2026-04-04 23:59:23.812
6060,69BB,27067,2026-04-04 23:59:23.815
6061,79B2,31154,2026-04-04 23:59:23.818
6062,BD6F,48495,2026-04-04 23:59:23.821
6063,DC64,56420,2026-04-04 23:59:23.824
6064,1F2B,7979,2026-04-04 23:59:23.827
6065,31B2,12722,2026-04-04 23:59:23.831
6066,6BA3,27555,2026-04-04 23:59:23.834
6067,0DCF,3535,2026-04-04 23:59:23.837
6068,F4C2,62658,2026-04-04 23:59:23.840
6069,9AC8,39624,2026-04-04 23:59:23.843
6070,42A9,17065,2026-04-04 23:59:23.846
6071,6D89,28041,2026-04-04 23:59:23.849
6072,823E,33342,2026-04-04 23:59:23.853
6073,76D6,30422,2026-04-04 23:59:23.856
6074,660C,26124,2026-04-04 23:59:23.859
6075,ABAF,43951,2026-04-04 23:59:23.862
6076,800C,32780,2026-04-04 23:59:23.865
6077,3208,12808,2026-04-04 23:59:23.868
6078,EA13,59923,2026-04-04 23:59:23.871
6079,8919,35097,2026-04-04 23:59:23.875
6080,4F8B,20363,2026-04-04 23:59:23.878
6081,3489,13449,2026-04-04 23:59:23.881
6082,A10F,41231,2026-04-04 23:59:23.884
6083,0822,2082,2026-04-04 23:59:23.887
6084,002A,42,2026-04-04 23:59:23.890
6085,55B7,21943,2026-04-04 23:59:23.893
6086,C799,51097,2026-04-04 23:59:23.897
6087,523A,21050,2026-04-04 23:59:23.900
6088,4709,18185,2026-04-04 23:59:23.903
6089,7448,29768,2026-04-04 23:59:23.906
6090,353B,13627,2026-04-04 23:59:23.909
6091,2A12,10770,2026-04-04 23:59:23.912
6092,0522,1314,2026-04-04 23:59:23.915
6093,999E,39326,2026-04-04 23:59:23.919
6094,57C4,22468,2026-04-04 23:59:23.922
6095,8BD8,35800,2026-04-04 23:59:23.925
6096,BE2D,48685,2026-04-04 23:59:23.928
6097,CD0D,52493,2026-04-04 23:59:23.931
6098,4DB5,19893,2026-04-04 23:59:23.934
6099,3EB5,16053,2026-04-04 23:59:23.937
6100,FC64,64612,2026-04-04 23:59:23.940
6101,9459,37977,2026-04-04 23:59:23.944
6102,7FF6,32758,2026-04-04 23:59:23.947
6103,D105,53509,2026-04-04 23:59:23.950
6104,02C6,710,2026-04-04 23:59:23.953
6105,4F7D,20349,2026-04-04 23:59:23.956
6106,893D,35133,2026-04-04 23:59:23.959
6107,36AC,13996,2026-04-04 23:59:23.962
6108,95A7,38311,2026-04-04 23:59:23.966
6109,E87A,59514,2026-04-04 23:59:23.969
6110,BE47,48711,2026-04-04 23:59:23.972
6111,6223,25123,2026-04-04 23:59:23.975
6112,8EF4,36596,2026-04-04 23:59:23.978
6113,1973,6515,2026-04-04 23:59:23.981
6114,DB93,56211,2026-04-04 23:59:23.984
6115,D7B6,55222,2026-04-04 23:59:23.988
6116,2B1D,11037,2026-04-04 23:59:23.991
6117,D52A,54570,2026-04-04 23:59:23.994
6118,3C2A,15402,2026-04-04 23:59:23.997
6119,ADAC,44460,2026-04-04 23:59:24.000
6120,68B7,26807,2026-04-04 23:59:24.003
6121,683F,26687,2026-04-04 23:59:24.006
6122,A164,41316,2026-04-04 23:59:24.010
6123,AFD6,45014,2026-04-04 23:59:24.013
6124,B0A7,45223,2026-04-04 23:59:24.016
6125,0FBB,4027,2026-04-04 23:59:24.019
6126,9446,37958,2026-04-04 23:59:24.022
6127,D93A,55610,2026-04-04 23:59:24.025
6128,78D3,30931,2026-04-04 23:59:24.028
6129,C0A8,49320,2026-04-04 23:59:24.032
6130,6462,25698,2026-04-04 23:59:24.035
6131,A45D,42077,2026-04-04 23:59:24.038
6132,F710,63248,2026-04-04 23:59:24.041
6133,D34D,54093,2026-04-04 23:59:24.044
6134,6441,25665,2026-04-04 23:59:24.047
6135,7CBD,31933,2026-04-04 23:59:24.050
6136,2452,9298,2026-04-04 23:59:24.054
6137,9015,36885,2026-04-04 23:59:24.057
6138,1944,6468,2026-04-04 23:59:24.060
6139,1211,4625,2026-04-04 23:59:24.063
6140,EB56,60246,2026-04-04 23:59:24.066
6141,090F,2319,2026-04-04 23:59:24.069
6142,C554,50516,2026-04-04 23:59:24.072
6143,81EF,33263,2026-04-04 23:59:24.076
6144,4293,17043,2026-04-04 23:59:24.079
6145,66A6,26278,2026-04-04 23:59:24.082
6146,491D,18717,2026-04-04 23:59:24.085
6147,7958,31064,2026-04-04 23:59:24.088
6148,79B2,31154,2026-04-04 23:59:24.091
6149,08E2,2274,2026-04-04 23:59:24.094
6150,BB9F,48031,2026-04-04 23:59:24.098
6151,C1D3,49619,2026-04-04 23:59:24.101
6152,6AEA,27370,2026-04-04 23:59:24.104
6153,0809,2057,2026-04-04 23:59:24.107
6154,2937,10551,2026-04-04 23:59:24.110
6155,F764,63332,2026-04-04 23:59:24.113
6156,516D,20845,2026-04-04 23:59:24.116
6157,97B1,38833,2026-04-04 23:59:24.120
6158,E972,59762,2026-04-04 23:59:24.123
6159,1BB1,7089,2026-04-04 23:59:24.126
6160,8ACC,35532,2026-04-04 23:59:24.129
6161,8D4E,36174,2026-04-04 23:59:24.132
6162,6D89,28041,2026-04-04 23:59:24.135
6163,E20D,57869,2026-04-04 23:59:24.138
6164,D830,55344,2026-04-04 23:59:24.142
6165,2F32,12082,2026-04-04 23:59:24.145
6166,27FC,10236,2026-04-04 23:59:24.148
6167,C091,49297,2026-04-04 23:59:24.151
6168,B806,47110,2026-04-04 23:59:24.154
6169,F1C4,61892,2026-04-04 23:59:24.157
6170,94DB,38107,2026-04-04 23:59:24.160
6171,BFFD,49149,2026-04-04 23:59:24.164
6172,B01C,45084,2026-04-04 23:59:24.167
6173,BBF8,48120,2026-04-04 23:59:24.170
6174,1A15,6677,2026-04-04 23:59:24.173
6175,170F,5903,2026-04-04 23:59:24.176
6176,DF00,57088,2026-04-04 23:59:24.179
6177,EB2A,60202,2026-04-04 23:59:24.182
6178,392B,14635,2026-04-04 23:59:24.186
6179,8A55,35413,2026-04-04 23:59:24.189
6180,0C21,3105,2026-04-04 23:59:24.192
6181,C1BD,49597,2026-04-04 23:59:24.195
6182,EC82,60546,2026-04-04 23:59:24.198
6183,A4E6,42214,2026-04-04 23:59:24.201
6184,2AF7,10999,2026-04-04 23:59:24.204
6185,62EA,25322,2026-04-04 23:59:24.208
6186,786F,30831,2026-04-04 23:59:24.211
6187,88DA,35034,2026-04-04 23:59:24.214
6188,B80C,47116,2026-04-04 23:59:24.217
6189,3242,12866,2026-04-04 23:59:24.220
6190,3BDA,15322,2026-04-04 23:59:24.223
6191,A160,41312,2026-04-04 23:59:24.226
6192,CBF7,52215,2026-04-04 23:59:24.230
6193,8901,35073,2026-04-04 23:59:24.233
6194,7E2E,32302,2026-04-04 23:59:24.236
6195,174F,5967,2026-04-04 23:59:24.239
6196,3587,13703,2026-04-04 23:59:24.242
6197,2320,8992,2026-04-04 23:59:24.245
6198,32EE,13038,2026-04-04 23:59:24.248
6199,A05D,41053,2026-04-04 23:59:24.252
6200,F39C,62364,2026-04-04 23:59:24.255
6201,98B3,39091,2026-04-04 23:59:24.258
6202,C516,50454,2026-04-04 23:59:24.261
6203,C3C2,50114,2026-04-04 23:59:24.264
6204,BC29,48169,2026-04-04 23:59:24.267
6205,A057,41047,2026-04-04 23:59:24.270
6206,F69F,63135,2026-04-04 23:59:24.274
6207,E7DD,59357,2026-04-04 23:59:24.277
6208,1B93,7059,2026-04-04 23:59:24.280
6209,249E,9374,2026-04-04 23:59:24.283
6210,0E96,3734,2026-04-04 23:59:24.286
6211,7D98,32152,2026-04-04 23:59:24.289
6212,12DE,4830,2026-04-04 23:59:24.292
6213,5E56,24150,2026-04-04 23:59:24.295
6214,3D29,15657,2026-04-04 23:59:24.299
6215,CDB2,52658,2026-04-04 23:59:24.302
6216,C551,50513,2026-04-04 23:59:24.305
6217,E431,58417,2026-04-04 23:59:24.308
6218,2F59,12121,2026-04-04 23:59:24.311
6219,70E6,28902,2026-04-04 23:59:24.314
6220,049D,1181,2026-04-04 23:59:24.317
6221,7CBF,31935,2026-04-04 23:59:24.321
6222,FB28,64296,2026-04-04 23:59:24.324
6223,45D1,17873,2026-04-04 23:59:24.327
6224,D2DC,53980,2026-04-04 23:59:24.330
6225,0D24,3364,2026-04-04 23:59:24.333
6226,F150,61776,2026-04-04 23:59:24.336
6227,177D,6013,2026-04-04 23:59:24.339
6228,1221,4641,2026-04-04 23:59:24.343
6229,F0C4,61636,2026-04-04 23:59:24.346
6230,BA5F,47711,2026-04-04 23:59:24.349
6231,6A80,27264,2026-04-04 23:59:24.352
6232,4CA8,19624,2026-04-04 23:59:24.355
6233,96EF,38639,2026-04-04 23:59:24.358
6234,1AA1,6817,2026-04-04 23:59:24.361
6235,B1EA,45546,2026-04-04 23:59:24.365
6236,CECB,52939,2026-04-04 23:59:24.368
6237,40E2,16610,2026-04-04 23:59:24.371
6238,9D87,40327,2026-04-04 23:59:24.374
6239,9056,36950,2026-04-04 23:59:24.377
6240,A75F,42847,2026-04-04 23:59:24.380
6241,8A98,35480,2026-04-04 23:59:24.383
6242,A555,42325,2026-04-04 23:59:24.387
6243,7EEE,32494,2026-04-04 23:59:24.390
6244,A88F,43151,2026-04-04 23:59:24.393
6245,FEB4,65204,2026-04-04 23:59:24.396
6246,0001,1,2026-04-04 23:59:24.399
6247,16BE,5822,2026-04-04 23:59:24.402
6248,5AFF,23295,2026-04-04 23:59:24.405
6249,644A,25674,2026-04-04 23:59:24.409
6250,02F0,752,2026-04-04 23:59:24.412
6251,B1D6,45526,2026-04-04 23:59:24.415
6252,2EC3,11971,2026-04-04 23:59:24.418
6253,B225,45605,2026-04-04 23:59:24.421
6254,A559,42329,2026-04-04 23:59:24.424
6255,2099,8345,2026-04-04 23:59:24.427
6256,4342,17218,2026-04-04 23:59:24.431
6257,8D21,36129,2026-04-04 23:59:24.434
6258,21D8,8664,2026-04-04 23:59:24.437
6259,B4F2,46322,2026-04-04 23:59:24.440
6260,45CA,17866,2026-04-04 23:59:24.443
6261,EDBE,60862,2026-04-04 23:59:24.446
6262,22AB,8875,2026-04-04 23:59:24.449
6263,96AA,38570,2026-04-04 23:59:24.453
6264,56C9,22217,2026-04-04 23:59:24.456
6265,FF48,65352,2026-04-04 23:59:24.459
6266,24F2,9458,2026-04-04 23:59:24.462
6267,CB9D,52125,2026-04-04 23:59:24.465
6268,D9DA,55770,2026-04-04 23:59:24.468
6269,BCD3,48339,2026-04-04 23:59:24.471
6270,5666,22118,2026-04-04 23:59:24.475
6271,356D,13677,2026-04-04 23:59:24.478
6272,451D,17693,2026-04-04 23:59:24.481
6273,FDB3,64947,2026-04-04 23:59:24.484
6274,3A21,14881,2026-04-04 23:59:24.487
6275,D06B,53355,2026-04-04 23:59:24.490
6276,90A4,37028,2026-04-04 23:59:24.493
6277,7515,29973,2026-04-04 23:59:24.497
6278,6AD0,27344,2026-04-04 23:59:24.500
6279,F014,61460,2026-04-04 23:59:24.503
6280,D583,54659,2026-04-04 23:59:24.506
6281,364D,13901,2026-04-04 23:59:24.509
6282,05E2,1506,2026-04-04 23:59:24.512
6283,8537,34103,2026-04-04 23:59:24.515
6284,7147,28999,2026-04-04 23:59:24.519
6285,154C,5452,2026-04-04 23:59:24.522
6286,D9C4,55748,2026-04-04 23:59:24.525
6287,BDD3,48595,2026-04-04 23:59:24.528
6288,1578,5496,2026-04-04 23:59:24.531
6289,A10D,41229,2026-04-04 23:59:24.534
6290,15AF,5551,2026-04-04 23:59:24.537
6291,F5FE,62974,2026-04-04 23:59:24.541
6292,44EE,17646,2026-04-04 23:59:24.544
6293,E5DF,58847,2026-04-04 23:59:24.547
6294,2AE2,10978,2026-04-04 23:59:24.550
6295,038D,909,2026-04-04 23:59:24.553
6296,5BC4,23492,2026-04-04 23:59:24.556
6297,9C13,39955,2026-04-04 23:59:24.559
6298,D7D6,55254,2026-04-04 23:59:24.563
6299,079C,1948,2026-04-04 23:59:24.566
6300,DD72,56690,2026-04-04 23:59:24.569
6301,EA00,59904,2026-04-04 23:59:24.572
6302,6C76,27766,2026-04-04 23:59:24.575
6303,F8E8,63720,2026-04-04 23:59:24.578
6304,2A29,10793,2026-04-04 23:59:24.581
6305,82B5,33461,2026-04-04 23:59:24.585
6306,9C3A,39994,2026-04-04 23:59:24.588
6307,4727,18215,2026-04-04 23:59:24.591
6308,3D8C,15756,2026-04-04 23:59:24.594
6309,E69B,59035,2026-04-04 23:59:24.597
6310,182B,6187,2026-04-04 23:59:24.600
6311,9B32,39730,2026-04-04 23:59:24.603
6312,B288,45704,2026-04-04 23:59:24.607
6313,D23E,53822,2026-04-04 23:59:24.610
6314,95E1,38369,2026-04-04 23:59:24.613
6315,66CE,26318,2026-04-04 23:59:24.616
6316,AD37,44343,2026-04-04 23:59:24.619
6317,2A23,10787,2026-04-04 23:59:24.622
6318,B07E,45182,2026-04-04 23:59:24.625
6319,16FF,5887,2026-04-04 23:59:24.629
6320,D994,55700,2026-04-04 23:59:24.632
6321,9D3C,40252,2026-04-04 23:59:24.635
6322,AE84,44676,2026-04-04 23:59:24.638
6323,BCA3,48291,2026-04-04 23:59:24.641
6324,20A9,8361,2026-04-04 23:59:24.644
6325,C905,51461,2026-04-04 23:59:24.647
6326,2D11,11537,2026-04-04 23:59:24.650
6327,3307,13063,2026-04-04 23:59:24.654
6328,FFBB,65467,2026-04-04 23:59:24.657
6329,43D0,17360,2026-04-04 23:59:24.660
6330,2955,10581,2026-04-04 23:59:24.663
6331,CB0E,51982,2026-04-04 23:59:24.666
6332,113E,4414,2026-04-04 23:59:24.669
6333,2B9E,11166,2026-04-04 23:59:24.672
6334,FC58,64600,2026-04-04 23:59:24.676
6335,AE67,44647,2026-04-04 23:59:24.679
6336,F225,61989,2026-04-04 23:59:24.682
6337,F8F3,63731,2026-04-04 23:59:24.685
6338,7705,30469,2026-04-04 23:59:24.688
6339,6BE2,27618,2026-04-04 23:59:24.691
6340,72FF,29439,2026-04-04 23:59:24.694
6341,07C4,1988,2026-04-04 23:59:24.698
6342,EE11,60945,2026-04-04 23:59:24.701
6343,6627,26151,2026-04-04 23:59:24.704
6344,5B1C,23324,2026-04-04 23:59:24.707
6345,CBF3,52211,2026-04-04 23:59:24.710
6346,FA04,64004,2026-04-04 23:59:24.713
6347,F2DF,62175,2026-04-04 23:59:24.716
6348,4249,16969,2026-04-04 23:59:24.720
6349,2B28,11048,2026-04-04 23:59:24.723
6350,B11B,45339,2026-04-04 23:59:24.726
6351,1C1D,7197,2026-04-04 23:59:24.729
6352,30AC,12460,2026-04-04 23:59:24.732
6353,7F4D,32589,2026-04-04 23:59:24.735
6354,DDB2,56754,2026-04-04 23:59:24.738
6355,4BD2,19410,2026-04-04 23:59:24.742
6356,BDD1,48593,2026-04-04 23:59:24.745
6357,9504,38148,2026-04-04 23:59:24.748
6358,00C9,201,2026-04-04 23:59:24.751
6359,879A,34714,2026-04-04 23:59:24.754
6360,72F8,29432,2026-04-04 23:59:24.757
6361,C7A0,51104,2026-04-04 23:59:24.760
6362,4B7F,19327,2026-04-04 23:59:24.764
6363,9BF3,39923,2026-04-04 23:59:24.767
6364,9928,39208,2026-04-04 23:59:24.770
6365,681A,26650,2026-04-04 23:59:24.773
6366,B44C,46156,2026-04-04 23:59:24.776
6367,54A8,21672,2026-04-04 23:59:24.779
6368,405B,16475,2026-04-04 23:59:24.782
6369,9244,37444,2026-04-04 23:59:24.786
6370,CF58,53080,2026-04-04 23:59:24.789
6371,71C3,29123,2026-04-04 23:59:24.792
6372,D561,54625,2026-04-04 23:59:24.795
6373,6BBC,27580,2026-04-04 23:59:24.798
6374,51C4,20932,2026-04-04 23:59:24.801
6375,177F,6015,2026-04-04 23:59:24.804
6376,4005,16389,2026-04-04 23:59:24.808
6377,8F78,36728,2026-04-04 23:59:24.811
6378,6BBE,27582,2026-04-04 23:59:24.814
6379,C1A9,49577,2026-04-04 23:59:24.817
6380,5C0E,23566,2026-04-04 23:59:24.820
6381,7225,29221,2026-04-04 23:59:24.823
6382,8701,34561,2026-04-04 23:59:24.826
6383,EE50,61008,2026-04-04 23:59:24.830
6384,3B18,15128,2026-04-04 23:59:24.833
6385,B985,47493,2026-04-04 23:59:24.836
6386,29BD,10685,2026-04-04 23:59:24.839
6387,E071,57457,2026-04-04 23:59:24.842
6388,2603,9731,2026-04-04 23:59:24.845
6389,9086,36998,2026-04-04 23:59:24.848
6390,2D14,11540,2026-04-04 23:59:24.852
6391,CD04,52484,2026-04-04 23:59:24.855
6392,5915,22805,2026-04-04 23:59:24.858
6393,4837,18487,2026-04-04 23:59:24.861
6394,C899,51353,2026-04-04 23:59:24.864
6395,18F8,6392,2026-04-04 23:59:24.867
6396,11B2,4530,2026-04-04 23:59:24.870
6397,82EF,33519,2026-04-04 23:59:24.874
6398,89C7,35271,2026-04-04 23:59:24.877
6399,20FF,8447,2026-04-04 23:59:24.880
6400,DCE6,56550,2026-04-04 23:59:24.883
6401,CE54,52820,2026-04-04 23:59:24.886
6402,6768,26472,2026-04-04 23:59:24.889
6403,35AD,13741,2026-04-04 23:59:24.892
6404,4966,18790,2026-04-04 23:59:24.896
6405,85F6,34294,2026-04-04 23:59:24.899
6406,16DF,5855,2026-04-04 23:59:24.902
6407,9C07,39943,2026-04-04 23:59:24.905
6408,99D9,39385,2026-04-04 23:59:24.908
6409,D43C,54332,2026-04-04 23:59:24.911
6410,744A,29770,2026-04-04 23:59:24.914
6411,A625,42533,2026-04-04 23:59:24.918
6412,A84B,43083,2026-04-04 23:59:24.921
6413,7060,28768,2026-04-04 23:59:24.924
6414,4F88,20360,2026-04-04 23:59:24.927
6415,86F6,34550,2026-04-04 23:59:24.930
6416,20DE,8414,2026-04-04 23:59:24.933
6417,1504,5380,2026-04-04 23:59:24.936
6418,1B5D,7005,2026-04-04 23:59:24.940
6419,2362,9058,2026-04-04 23:59:24.943
6420,2D9B,11675,2026-04-04 23:59:24.946
6421,3BA4,15268,2026-04-04 23:59:24.949
6422,030B,779,2026-04-04 23:59:24.952
6423,FD07,64775,2026-04-04 23:59:24.955
6424,04B0,1200,2026-04-04 23:59:24.958
6425,C387,50055,2026-04-04 23:59:24.962
6426,A966,43366,2026-04-04 23:59:24.965
6427,8BA8,35752,2026-04-04 23:59:24.968
6428,6161,24929,2026-04-04 23:59:24.971
6429,FB29,64297,2026-04-04 23:59:24.974
6430,3EAB,16043,2026-04-04 23:59:24.977
6431,A769,42857,2026-04-04 23:59:24.980
6432,C1FD,49661,2026-04-04 23:59:24.984
6433,924D,37453,2026-04-04 23:59:24.987
6434,E9E2,59874,2026-04-04 23:59:24.990
6435,5DB3,23987,2026-04-04 23:59:24.993
6436,6F53,28499,2026-04-04 23:59:24.996
6437,2887,10375,2026-04-04 23:59:24.999
6438,98AD,39085,2026-04-04 23:59:25.002
6439,2013,8211,2026-04-04 23:59:25.005
6440,11D3,4563,2026-04-04 23:59:25.009
6441,5142,20802,2026-04-04 23:59:25.012
6442,B8B2,47282,2026-04-04 23:59:25.015
6443,B520,46368,2026-04-04 23:59:25.018
6444,0F82,3970,2026-04-04 23:59:25.021
6445,1070,4208,2026-04-04 23:59:25.024
6446,1225,4645,2026-04-04 23:59:25.027
6447,603F,24639,2026-04-04 23:59:25.031
6448,D337,54071,2026-04-04 23:59:25.034
6449,1283,4739,2026-04-04 23:59:25.037
6450,AC02,44034,2026-04-04 23:59:25.040
6451,5D10,23824,2026-04-04 23:59:25.043
6452,0D4B,3403,2026-04-04 23:59:25.046
6453,D9E3,55779,2026-04-04 23:59:25.049
6454,1A43,6723,2026-04-04 23:59:25.053
6455,6042,24642,2026-04-04 23:59:25.056
6456,ED45,60741,2026-04-04 23:59:25.059
6457,BF27,48935,2026-04-04 23:59:25.062
6458,5661,22113,2026-04-04 23:59:25.065
6459,7C11,31761,2026-04-04 23:59:25.068
6460,7F88,32648,2026-04-04 23:59:25.071
6461,E706,59142,2026-04-04 23:59:25.075
6462,9097,37015,2026-04-04 23:59:25.078
6463,608B,24715,2026-04-04 23:59:25.081
6464,A40B,41995,2026-04-04 23:59:25.084
6465,4EB4,20148,2026-04-04 23:59:25.087
6466,79CF,31183,2026-04-04 23:59:25.090
6467,1095,4245,2026-04-04 23:59:25.093
6468,9C4B,40011,2026-04-04 23:59:25.097
6469,001B,27,2026-04-04 23:59:25.100
6470,1329,4905,2026-04-04 23:59:25.103
6471,2F68,12136,2026-04-04 23:59:25.106
6472,8857,34903,2026-04-04 23:59:25.109
6473,6831,26673,2026-04-04 23:59:25.112
6474,C6CD,50893,2026-04-04 23:59:25.115
6475,4314,17172,2026-04-04 23:59:25.119
6476,AE39,44601,2026-04-04 23:59:25.122
6477,9AEA,39658,2026-04-04 23:59:25.125
6478,F753,63315,2026-04-04 23:59:25.128
6479,00A2,162,2026-04-04 23:59:25.131
6480,341C,13340,2026-04-04 23:59:25.134
6481,672E,26414,2026-04-04 23:59:25.137
6482,764D,30285,2026-04-04 23:59:25.141
6483,5847,22599,2026-04-04 23:59:25.144
6484,3537,13623,2026-04-04 23:59:25.147
6485,FD7D,64893,2026-04-04 23:59:25.150
6486,940C,37900,2026-04-04 23:59:25.153
6487,45C0,17856,2026-04-04 23:59:25.156
6488,7FB6,32694,2026-04-04 23:59:25.159
6489,C128,49448,2026-04-04 23:59:25.163
6490,6EEC,28396,2026-04-04 23:59:25.166
6491,A6C9,42697,2026-04-04 23:59:25.169
6492,91F8,37368,2026-04-04 23:59:25.172
6493,503B,20539,2026-04-04 23:59:25.175
6494,F0AB,61611,2026-04-04 23:59:25.178
6495,C33D,49981,2026-04-04 23:59:25.181
6496,B32E,45870,2026-04-04 23:59:25.185
6497,FD93,64915,2026-04-04 23:59:25.188
6498,E266,57958,2026-04-04 23:59:25.191
6499,AA10,43536,2026-04-04 23:59:25.194
6500,C063,49251,2026-04-04 23:59:25.197
6501,4295,17045,2026-04-04 23:59:25.200
6502,8676,34422,2026-04-04 23:59:25.203
6503,68BB,26811,2026-04-04 23:59:25.207
6504,D5E0,54752,2026-04-04 23:59:25.210
6505,A761,42849,2026-04-04 23:59:25.213
6506,4A13,18963,2026-04-04 23:59:25.216
6507,5AB0,23216,2026-04-04 23:59:25.219
6508,7309,29449,2026-04-04 23:59:25.222
6509,3643,13891,2026-04-04 23:59:25.225
6510,4D33,19763,2026-04-04 23:59:25.229
6511,6E05,28165,2026-04-04 23:59:25.232
6512,8EA6,36518,2026-04-04 23:59:25.235
6513,22C4,8900,2026-04-04 23:59:25.238
6514,0161,353,2026-04-04 23:59:25.241
6515,A951,43345,2026-04-04 23:59:25.244
6516,1B2C,6956,2026-04-04 23:59:25.247
6517,C89E,51358,2026-04-04 23:59:25.251
6518,99CE,39374,2026-04-04 23:59:25.254
6519,5EDC,24284,2026-04-04 23:59:25.257
6520,DDEB,56811,2026-04-04 23:59:25.260
6521,A301,41729,2026-04-04 23:59:25.263
6522,AF0A,44810,2026-04-04 23:59:25.266
6523,CDAE,52654,2026-04-04 23:59:25.269
